,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Work_Name_En,Number_of_Trainees
8239,2020,Riyadh,King Fahad Medical City in Riyadh,Prince Sultan Military Medical City,1
8240,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,"King Abdulaziz Hospital for National Guards, Al Hassa",1
8241,2020,Riyadh,King Fahad Medical City in Riyadh,University of Hail,1
8242,2020,Riyadh,King Fahad Medical City in Riyadh,Umm Al Qura University,1
8243,2018,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,Ministry of Defense Medical Services,1
8244,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Abdulaziz University,1
8245,2018,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,Ministry of Defense / Personal Contract,1
8246,2022,Riyadh,Riyadh Second Health Cluster,Armed Forces Medical Services,1
8247,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Fahad Medical City in Riyadh,1
8248,2022,Riyadh,Riyadh Second Health Cluster,Ministry of Defense / Personal Contract,1
8249,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Faisal University,1
8250,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Hamad University Hospita,1
8251,2018,Makkah,Teaching Dental Hospital at Dentistry College in Umm Al-Qura University in Mecca,Unknown,1
8252,2022,Riyadh,Security Forces Hospital in Riyadh,Ministry of Defense,1
8253,2020,Riyadh,King Fahad Medical City in Riyadh,Saudi Bugshan,1
8254,2022,Riyadh,Security Forces Hospital in Riyadh,Ministry of Interior / Special Security Forces,1
8255,2018,Makkah,King Faisal Hospital in Mecca,King Abdulaziz University,1
8256,2018,Makkah,King Abdullah Medical City in the Holy Capital,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,1
8257,2018,Makkah,King Abdullah Medical City in the Holy Capital,Umm Al Qura University,1
8258,2022,Taif,King Abdulaziz Specialist Hospital in Taif,Armed Forces Medical Services,1
8259,2018,Makkah,King Abdulaziz Hospital in Mecca,King Abdullah Medical City in Mecca,1
8260,2018,Makkah,King Abdulaziz Hospital in Mecca,King Abdulaziz University,1
8261,2020,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,King Abdullah bin Abdulaziz University Hospital,1
8262,2018,Makkah,King Abdulaziz Hospital in Mecca,"King Abdulaziz Hospital, Mecca",1
8263,2018,Makkah,King Abdulaziz Hospital in Mecca,Armed Forces Medical Services,1
8264,2022,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,Qassim University,1
8265,2020,Riyadh,King Fahad Medical City in Riyadh,Dr. Soliman Fakeeh Hospital,1
8266,2018,Makkah,JointProgram for Preventive Medicine in Makkah,Ministry of Defense / Personal Contract,1
8267,2018,Makkah,JointProgram for Family Medicine in Makkah,Unknown,1
8268,2018,Makkah,JointProgram for Family Medicine in Makkah,Ministry of Interior,1
8269,2018,Makkah,JointProgram for Family Medicine in Makkah,Ministry of Defense Medical Services,1
8270,2018,Makkah,JointProgram for Family Medicine in Makkah,"Al Noor Specialist Hospital, Mecca",1
8271,2020,Riyadh,King Fahad Medical City in Riyadh,"King Abdulaziz Medical City for National Guard, Jeddah",1
8272,2018,Makkah,"Joint training program in the Western Region, Makkah",University of Jeddah ,1
8273,2020,Riyadh,King Fahad Medical City in Riyadh,King Abdulaziz University,1
8274,2020,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,1
8275,2020,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,Dr. Sulaiman Al Habib Hospital - Takhassusi,1
8276,2020,Riyadh,King Abdulaziz University Hospital in Riyadh,Unknown,1
8277,2020,Riyadh,King Abdulaziz University Hospital in Riyadh,King Faisal Specialist Hospital & Research Centre,1
8278,2018,Makkah,King Abdullah Medical City in the Holy Capital,Najran University,1
8279,2020,Riyadh,King Fahad Medical City in Riyadh,Ministry of Defense,1
8280,2020,Riyadh,King Fahad Medical City in Riyadh,Majmaah University,1
8281,2020,Riyadh,King Fahad Medical City in Riyadh,King Saud University,1
8282,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Umm Al Qura University,1
8283,2022,Unaizah,King Saud Hospital in Unaizah,Ministry of Health,1
8284,2022,Unknown - Saudi Arabia,Joint training program in the Western Region,Personal Contract,1
8285,2018,Makkah,King Abdulaziz Hospital in Mecca,Unknown,1
8286,2018,Makkah,King Abdullah Medical City in the Holy Capital,Ministry of Defense / Personal Contract,1
8287,2022,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,King Saud University,1
8288,2022,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,Ministry of Defense,1
8289,2020,Riyadh,King Fahad Medical City in Riyadh,King Faisal University,1
8290,2022,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,Ministry of Health,1
8291,2020,Riyadh,King Fahad Medical City in Riyadh,"King Faisal Specialist Hospital & Research Centre, Jeddah",1
8292,2018,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,Unknown,1
8293,2018,Manama,King Hamad University Hospital in Kingdom of Bahrain,"Al Noor Specialist Hospital, Mecca",1
8294,2018,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,Majmaah University,1
8295,2020,Riyadh,JointProgram for Forensic Medicine-Riyadh,Ministry of Interior,1
8296,2018,Riyadh,Dallah Hospital in Riyadh,King Fahad Medical City in Riyadh,1
8297,2022,Riyadh,Medical City of King Saud University in Riyadh,Ministry of Defense Medical Services,1
8298,2018,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,Unknown,1
8299,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Alfaisal University,1
8300,2018,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,Ministry of Defense / Air Force,1
8301,2018,Riyadh,AlYamamah Hospital in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,1
8302,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,"Al Noor Specialist Hospital, Mecca",1
8303,2018,Riyadh,AlYamamah Hospital in Riyadh,Personal Contract,1
8304,2018,Riyadh,AlYamamah Hospital in Riyadh,"Al Noor Specialist Hospital, Mecca",1
8305,2018,Riyadh,Al-Iman Hospital in Riyadh,Private Sector,1
8306,2018,Riyadh,Al-Iman Hospital in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,1
8307,2020,Riyadh,JointProgram for Ophthalmology - Central,King Saud University,1
8308,2022,Riyadh,Medical City of King Saud University in Riyadh,Prince Sultan Military Medical City,1
8309,2020,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,1
8310,2020,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,King Fahad National Guard Hospital,1
8311,2018,Riyadh,Dallah Hospital in Riyadh,Ministry of Defense / Personal Contract,1
8312,2020,Riyadh,JointProgram for Forensic Medicine-Riyadh,Ministry of Defense / Personal Contract,1
8313,2020,Riyadh,JointProgram for Restorative Dentistry- Central,Ministry of Interior Medical Services,1
8314,2022,Riyadh,Medical City of King Saud University in Riyadh,King Saud Medical City in Riyadh,1
8315,2018,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,1
8316,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Abdullah bin Abdulaziz University Hospital,1
8317,2018,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Security Forces Hospital - Riyadh,1
8318,2020,Riyadh,"Joint training program in the central region, Riyadh",Imam Mohammad Ibn Saud Islamic University,1
8319,2018,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Qassim University,1
8320,2020,Riyadh,"Joint training program in the central region, Riyadh",King Fahad Medical City in Riyadh,1
8321,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Abdullah Medical City in Mecca,1
8322,2018,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Ministry of Defense Medical Services,1
8323,2018,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Majmaah University,1
8324,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Dallah Hospitals,1
8325,2020,Riyadh,"Joint training program in the central region, Riyadh",Personal Contract,1
8326,2020,Riyadh,"Joint training program in the central region, Riyadh",Princess Nourah Bint Abdul Rahman University,1
8327,2020,Riyadh,"Joint training program in the central region, Riyadh",Qassim University,1
8328,2020,Riyadh,"Joint training program in the central region, Riyadh",Taibah University,1
8329,2020,Riyadh,"Joint training program in the central region, Riyadh",وزارة الدفاع - عمان,1
8330,2020,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,King Faisal Medical City for Southern Regions,1
8331,2020,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,King Faisal Specialist Hospital & Research Centre,1
8332,2018,Riyadh,Al-Iman Hospital in Riyadh,Ministry of Defense / Personal Contract,1
8333,2022,Riyadh,Medical City of King Saud University in Riyadh,Saud Al Babtain Cardiac Center,1
8334,2018,Manama,Salmaniya Medical Complex in Manama,وزارة الدفاع - البحرين,1
8335,2020,Riyadh,JointProgram for Preventive medicine-Riyadh,Ministry of Defense Medical Services,1
8336,2020,Riyadh,JointProgram for Preventive medicine-Riyadh,Personal Contract,1
8337,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,King Saud University,1
8338,2018,Manama,Salmaniya Medical Complex in Manama,Ministry of Defense / Personal Contract,1
8339,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of National Guard,1
8340,2020,Riyadh,JointProgram for Prosthodontics in Riyadh,King Khalid University,1
8341,2018,Manama,Salmaniya Medical Complex in Manama,King Abdulaziz University,1
8342,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Prince Sultan Military Medical City,1
8343,2018,Manama,King Hamad University Hospital in Kingdom of Bahrain,وزارة الدفاع - البحرين,1
8344,2018,Manama,King Hamad University Hospital in Kingdom of Bahrain,Personal Contract,1
8345,2020,Riyadh,JointProgram for Psychiatry in Riyadh,Ministry of Health,1
8346,2018,Manama,King Hamad University Hospital in Kingdom of Bahrain,King Saud Medical City in Riyadh,1
8347,2020,Riyadh,JointProgram for Psychiatry in Riyadh,Ministry of National Guard,1
8348,2018,Manama,King Hamad University Hospital in Kingdom of Bahrain,Imam Abdul Rahman Bin Faisal University,1
8349,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,"King Fahad Specialist Hospital, Damam",1
8350,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Armed Forces Medical Services,1
8351,2018,Najran,General Directorate of Health Affairs in Najran Region,Kuwait Ministry of Health,1
8352,2018,Najran,General Directorate of Health Affairs in Najran Region,University of Bisha ,1
8353,2022,Riyadh,Medical City of King Saud University in Riyadh,University of Bisha ,1
8354,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Al Jouf University,1
8355,2020,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,Najran University,1
8356,2018,Najran,King Khaled Hospital in Najran,Unknown,1
8357,2020,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,Personal Contract,1
8358,2022,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Imam Mohammad Ibn Saud Islamic University,1
8359,2022,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Jazan University,1
8360,2018,Najran,General Directorate of Health Affairs in Najran Region,Ministry of Defense / Personal Contract,1
8361,2022,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,King Fahad Medical City in Riyadh,1
8362,2022,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Ministry of Defense / Personal Contract,1
8363,2020,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,Unknown,1
8364,2020,Riyadh,JointProgram for Periodontics- Riyadh,Ministry of Defense / Personal Contract,1
8365,2022,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Unknown,1
8366,2020,Riyadh,King Fahad Medical City in Riyadh,برنامج الخدمات الصحية للهيئة الملكية بالجبيل RCH,1
8367,2020,Riyadh,King Khalid University Hospital in Riyadh,وزارة الدفاع - البحرين,1
8368,2018,Riyadh,JointProgram for Psychiatry in Riyadh,King Khalid University,1
8369,2020,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,King Saud Medical City in Riyadh,1
8370,2020,Madinah,King Fahd Hospital in Medina,King Saud Medical City in Riyadh,1
8371,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,"Prince Mohammad Bin Abdulaziz Hospital, Riyadh",1
8372,2020,Madinah,King Fahd Hospital in Medina,Ministry of Defense / Air Force,1
8373,2020,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Ministry of Defense / Land Forces,1
8374,2020,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Ministry of Defense,1
8375,2020,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,King Saud University,1
8376,2020,Madinah,King Fahd Hospital in Medina,University of Jeddah ,1
8377,2020,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,King Faisal Medical City for Southern Regions,1
8378,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of Interior Medical Services,1
8379,2020,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,King Fahad Medical City in Riyadh,1
8380,2020,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Jazan University,1
8381,2020,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Imam Mohammad Ibn Saud Islamic University,1
8382,2022,Jeddah,King Abdullah Medical Complex in Jeddah,Ministry of Health,1
8383,2020,Madinah,Maternity and Children Hospital in Medina,"Royal Commission Medical Center, Yanbu",1
8384,2022,Jeddah,King Abdullah Medical Complex in Jeddah,Taibah University,1
8385,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Saud University,1
8386,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Prince Sattam Bin Abdulaziz University,1
8387,2020,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Ministry of Defense Medical Services,1
8388,2018,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Imam Mohammad Ibn Saud Islamic University,1
8389,2020,Madinah,King Fahd Hospital in Medina,King Fahad National Guard Hospital,1
8390,2018,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Bahrain Ministry of Health,1
8391,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,"Al Noor Specialist Hospital, Mecca",1
8392,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,1
8393,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,university of tabuk,1
8394,2020,Madinah,JointProgram for Family Medicine in Madinah,Ministry of Interior,1
8395,2020,Madinah,JointProgram for Family Medicine in Madinah,Taibah University,1
8396,2020,Madinah,JointProgram for Preventive Medicine in Madinah,Ministry of Defense Medical Services,1
8397,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Taibah University,1
8398,2020,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Unknown,1
8399,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,"Royal Commission Medical Center, Yanbu",1
8400,2022,Jeddah,King Abdulaziz University Hospital in Jeddah,Majmaah University,1
